Wiederaufnahme der Sitzungsperiode	Resumption of the session
Als Berichterstatterin kann ich allerdings insofern nicht empfehlen, ihn zu unterstützen, als wir neue Elemente in dem Entlastungsverfahren mit aller Entschiedenheit abgelehnt haben. Hoffentlich hat der Kollege dafür Verständnis.	I believe that, although it is an extremely kind and considerate amendment, the content of which must be given due follow-up, I cannot recommend approval of it as rapporteur, because we have very consistently rejected new elements in the discharge, so I hope that there will be some understanding for this.
Selbstverständlich, Herr Präsident, geben einige Punkte der Entlastung für das Haushaltsjahr 1997 noch Anlass zur Besorgnis.	Needless to say, there are also areas of concern with regard to the 1997 discharge.
In der Personalpolitik ist beispielsweise mehr Transparenz bei der Einstellung sowie bei der vorgesehenen Vorruhestandsregelung erforderlich.	For example, a higher level of transparency must be achieved within the personnel policy with regard to recruitment of staff and the proposed redundancy scheme.
Des Weiteren erwarte ich, dass der Herr Kommissar exakt darlegt, wie die Kommission sicherzustellen gedenkt, dass jedes einzelne Kommissionsmitglied dafür Sorge trägt, dass die Empfehlungen des Rechnungshofs nicht in irgendeiner Schublade landen, sondern auch wirklich ernsthaft befolgt werden.	I also expect the Commissioner to shed some light on how the Commission will guarantee that each individual Commissioner will ensure that recommendations from the Court of Auditors do not end up in some drawer somewhere, but will be implemented with due care.
Dieses Parlament wird die Umsetzung sämtlicher von der Kommission vorgelegten Berichte überwachen.	This Parliament will monitor the follow-up of all reports brought by the Commission.
Die für die nächsten Jahre gegebenen umfassenden Zusagen müssen auch tatsächlich eingelöst werden. Hoffentlich können wir dies gemeinsam tun, um dieses traurige Kapitel somit abzuschließen und vertrauensvoll an der Zukunft zu arbeiten.	The extensive pledges for the coming years must be translated into action, and I hope that we can do this together, and in doing so, close off this sad chapter and be able to work together on the future with confidence.
Herr Präsident! Der Bericht van der Laan liefert eine klare Übersicht über die Maßnahmen, die die Europäische Kommission aufgrund der Bemerkungen des Europäischen Parlaments in seiner Entschließung zur Entlastung für das Haushaltsjahr 1997 getroffen hat.	Mr President, the van der Laan report gives a clear overview of the measures which the European Commission has taken further to observations made by Parliament in the context of the 1997 discharge.
In diesem Sinne wird meine Fraktion den Bericht, zu dem ich Frau van der Laan beglückwünschen möchte, unterstützen.	From that point of view, my group will support the report, and I would congratulate Mrs van der Laan on her achievement.
Ich möchte darauf verweisen, und das wird auch in dem Bericht anerkannt, dass in fünf Bereichen - Rechnungsabschluss, Institutionelle Probleme hinsichtlich Verwaltung und Kontrolle, Büros für Technische Hilfe, partnerschaftlich durchgeführte Verwaltung der Gemeinschaftspolitiken und Bekämpfung von Betrug und Korruption - zwar Fortschritte erzielt worden sind, gleichwohl aber noch eine Menge aufzuarbeiten bleibt.	However, I would like to point out - and that is also mentioned in the report - that although some progress has been made in five areas, they have a long way to go yet. This applies to the closure of accounts, improving institutional management and control problems, the technical assistance offices and the fight against fraud and corruption.
Ich werde nicht auf sämtliche, sondern nur auf einige Punkte eingehen.	I will not go into all these areas but highlight a few.
Überaus wichtig ist meines Erachtens, dass die Kommission bei ihrem Bemühen, die unannehmbar hohe Fehlerquote zu verringern, die Mitgliedstaaten nennt, die es versäumen, insbesondere in den Bereichen, in denen die höchsten Ausgaben anfallen, Maßnahmen zur Behebung der Fehler zu ergreifen.	I believe it is of utmost importance for the Commission, in its attempts to reduce the unacceptably high percentage of error, to identify the Member States which fail to achieve any improvement in the percentage of error in the case of the biggest expense items, for example.
Den Mitgliedstaaten wird dies zwar nicht eben angenehm sein, weshalb aber sollten wir nicht auch in diesem Punkt so wie bei der Beurteilung der Umsetzung des Gemeinschaftsrechts durch die Mitgliedstaaten ein Scoreboard einführen.	The Member States will obviously not like this, but why could we not keep a scoreboard for this, just as we do for the Member States' performance rating in terms of implementing European legislation?
Je mehr Transparenz, desto besser.	The more transparency, the better.
Das hätte zudem den Vorteil, dass die nationalen Parlamente ihre Regierungen zur Rechenschaft ziehen können.	An added benefit is that the national parliaments can bring their governments to book.
Bei der Betrugsbekämpfung, in den Fällen, in denen sorglos mit Gemeinschaftsgeldern umgegangen wird, müssen wir verstärkt die Mitarbeit der einzelstaatlichen Parlamente einfordern.	In the fight against fraud and the careless handling of European monies, we must rely far more on cooperation with national parliaments.
Es geht um das Vertrauen der Bürger in die staatlichen Behörden und vor allem um das Vertrauen der Bürger in die Europäische Union.	The trust of the citizen in the powers that be, and specifically in the European Union, is at stake.
Für die Sorglosigkeit und Nachlässigkeit der einzelstaatlichen Behörden dürfen nicht wir, die Europäische Union, verantwortlich gemacht werden.	It cannot be that we here in Europe get the blame for the negligence and carelessness of national governments.
Die Kommission wird in nächster Zukunft alles daransetzen müssen, um ein wirksames Verwaltungs- und Kontrollsystem einzurichten.	In the near future, the Commission will need to pull out all the stops in order to set up an efficient management and control system.
Demnächst beginnen wir mit den Beratungen über die neue Haushaltsordnung, die den Anforderungen an ein modernes Management hoffentlich besser entsprechen wird.	We will soon be discussing the new Financial Regulation which, I hope, will better accommodate the requirements of modern management.
Wichtige Parameter dabei sind Kontinuität, Transparenz sowie klare und genau abgegrenzte Befugnisse.	Continuity, transparency and clear competences are vital parameters in this.
Kompetenzstreitigkeiten zwischen den für die Betrugs- und Korruptionsbekämpfung jeweils zuständigen Organen wie OLAF und der für finanzielle Unregelmäßigkeiten vorgeschlagenen Stelle gilt es zu vermeiden.	We must avoid a situation where different bodies responsible for fighting fraud and corruption, such as OLAF and the financial irregularities panel, cancel each other out in their efforts.
Es gibt nichts Schlimmeres als Ermittlungsdienste, die ihre Energie hauptsächlich darauf verwenden, sich in gegenseitiges Kompetenzgerangel einzumischen.	There is nothing worse than having investigation offices putting all their energy into mutual competence-based squabbles.
Abschließend halten wir es für sehr wichtig, dass der Rechnungshof in seinen Jahresberichten die Maßnahmen der Kommission infolge der kritisierten Aspekte systematisch überwacht.	Finally, we set great store by the Court of Auditors systematically examining the annual reports to see how the Commission has acted upon critical remarks made previously.
Es reicht eben nicht aus, Kontrollen durchzuführen, ohne sich zu vergewissern, ob zuvor festgestellte Fehler berichtigt worden sind.	Control without referring back to errors detected previously is a job half-done.
Herr Präsident, ich möchte Frau van der Laan dafür danken, dass sie dem Ausschuss für Haushaltskontrolle und dem Europäischen Parlament ein Modell gegeben hat, auf welches es sich in künftigen Entlastungsberichten stützen kann.	Mr President, I wish to thank Mrs van der Laan for giving the Committee on Budgetary Control and the European Parliament a model on which to base future discharge reports.
Von Beginn an war sie fest entschlossen, sich auf einige wenige Bereiche zu konzentrieren, in denen wir auf wirkliche Verbesserungen drängten.	From the outset she was very clear that she wanted to concentrate on a few areas where we wanted to see real improvement.
Diese wurden im vergangenen Jahr klar definiert.	They were clearly set out last year.
Nun verfügen wir über ein Follow-up, anhand dessen wir die Umsetzung dieser Punkte überprüfen können.	Now we have a follow-up to check that those points have been implemented.
Wir werden uns ihrer Position anschließen und die vorgelegten Änderungsanträge nicht unterstützen, denn wir wollen diesen klar definierten Ansatz beibehalten.	We shall be following her lead in not supporting the amendments tabled because we want to keep to that clear-cut approach.
Insgesamt ist die Reaktion der Kommission positiv, und dies muss nun mit der allgemeineren Reform der Kommission in Zusammenhang gebracht werden.	On the whole, the Commission has responded positively, and this now has to be set within the context of the more general Commission reform.
Wir freuen uns, dass die Kommission jährliche Tätigkeitsberichte für jede Generaldirektion vorlegen wird, doch damit dies auch effektiv geschieht, müssen wir unverzüglich über die Ziele für diese Generaldirektionen informiert werden.	We are pleased that the Commission will present annual activity reports for each Directorate-General but, for that to work effectively, we need to know the targets for these DGs very soon.
Auch in der Personalpolitik ist man vorangekommen, doch scheinen sich die Dinge nur sehr langsam zu entwickeln.	Work on staff policy has also gone ahead but things seem to be moving very slowly.
Wir wissen die Sensibilität, mit der die Verhandlungen zu Personalfragen geführt werden, sehr zu schätzen, doch wird uns und der europäischen Öffentlichkeit schon bald der Geduldsfaden reißen, wenn den Worten nicht endlich Taten folgen.	We appreciate the sensitivity of negotiations on staff issues but we and the European public will soon lose patience if the talking does not stop soon and the action start.
Die GAP und die Strukturfonds sind jene Bereiche in der EU, die am meisten von Misswirtschaft betroffen sind, was teilweise auch am Umfang der diesen Bereichen zustehenden Budgets liegt.	The CAP and Structural Funds are the areas where most mismanagement problems lie in the EU, partly due to the scale of the finance received by these areas.
Aus diesem Grunde ist es ganz entscheidend, dass wir als aufsichtführendes und der demokratischen Kontrolle unterliegendes Organ Zugang zu Informationen über das Finanzgebaren in diesen beiden Bereichen haben müssen.	That is why it is critical that we, as the controlling and accountable body, have access to information on the financial management of these two areas.
Wir freuen uns auf regelmäßige Berichte von der Gruppe der persönlichen Vertreter.	We look forward to receiving regular reports from the Personal Representatives Group.
Bei der Außenhilfe sehen wir allerdings noch beträchtliche Probleme.	External aid, however, is an area where we still see substantial problems.
Die Berichterstatterin hat auf die katastrophale Verwaltung der Hilfe für Palästina klar hingewiesen, was zu einer Zeit, da in dieser Region größtmögliche politische Sensibilität und Feingefühl gefragt sind, ein sehr negatives Signal ist.	The rapporteur has referred clearly to the disastrous way the aid to Palestine was handled, which gives a very poor signal at a time when the utmost political delicacy and sensitivity were needed in that region.
Vor kurzem hat der Rechnungshof einen weiteren Bericht zur Außenhilfe vorgelegt, und auf diesen sollten wir künftig Bezug nehmen.	Another Court of Auditors' report on external aid has come out very recently and we shall be looking at that in the future.
Der Berichterstatterin sei nochmals gedankt, und wir beglückwünschen sie zu ihrer hervorragenden Leistung.	Once again, I thank the rapporteur and congratulate her on a job well done.
Herr Präsident! In ihrem Bericht geht die Berichterstatterin, Frau van der Laan, auf die Fortschritte ein, die die Kommission in den Bereichen, in denen das Parlament in seinem Entschließungsantrag zur Entlastung für das Haushaltsjahr 1997 Empfehlungen angenommen hatte, im vergangenen Jahr gemacht hat.	Mr President, in her report, rapporteur Mrs van der Laan looks at the progress which the Commission has made over the past year with regard to following recommendations set out in the report on the 1997 discharge.
Sie ist mit dem von der Kommission produzierten Papierberg einigermaßen zufrieden.	She is rather pleased with the reams of paper which the Commission has produced.
Ich erwarte mehr Substanz, konkrete Ergebnisse.	I am waiting for more substance, for results.
Zwar handelt es sich um löbliche Vorsätze, was sie bewirkt haben, werden wir aber erst dann wissen, wenn die Ergebnisse vorliegen, wenn beispielsweise OLAF wirklich selbständig arbeitet, wenn der Zahlungsrückstand abgearbeitet worden ist, wenn bei den Zahlungen weniger Fehler begangen werden und wenn wir endlich Zugang zu vertraulichen Dokumenten erhalten.	The intentions are good, but the effect will not be evident until we see the results, once, for example, OLAF is working truly independently, once the backlog in payments has been cleared, once fewer errors are made in payments and once we finally gain access to confidential documents.
Ferner bin ich nicht von sämtlichen guten Absichten der Kommission überzeugt.	Furthermore, I am unconvinced by all the Commission' s good intentions.
Die von der Kollegin van der Laan so gepriesene Regelung für Informanten lässt viel zu wünschen übrig.	The scheme for whistle-blowers, much applauded by Mrs van der Laan, leaves a great deal to be desired.
Anstelle von Offenheit und Transparenz atmet diese Regelung den Geist der damage control.	Instead of openness and transparency, the scheme exudes an atmosphere of damage limitation.
Nach den neuen Vorschriften müssen die Informanten beweisen, sich korrekt an das Verfahren gehalten zu haben.	According to the new rules, whistle-blowers must prove that they have followed the correct procedures.
Sollte hier die Beweislast nicht umgekehrt werden?	Is this not a case where the burden of proof should be reversed?
Soll doch die Kommission den Nachweis erbringen, dass sie das Verfahren richtig angewandt hat.	We should let the Commission prove that it applied the procedure correctly.
Frau van der Laan geht ausführlich auf die Hilfe für Palästina ein und lässt ein erstaunliches Vertrauen in das Engagement der EU-Delegation erkennen.	Mrs van der Laan devotes much thought to the aid to the Palestinian regions and displays an astonishing degree of faith in the decisiveness of the European Union' s delegation in the process.
Ich hätte mir einen Bericht gewünscht, in dem die Rolle unseres palästinensischen counterpart dargelegt wird.	I would like to see a report in which the role of our Palestinian counterpart is explained.
Die jüngsten Hinrichtungen zwingen uns übrigens wieder einmal zu prüfen, inwieweit die Kriterien für die Hilfe der Europäischen Union eingehalten werden.	Moreover, the recent executions force us to revisit the conditions for European aid.
Ich möchte Sie alle darauf hinweisen, dass die Lehrbücher in den palästinensischen Schulen zahlreiche antisemitische Äußerungen enthalten. Äußerungen, die in unseren Ländern als Aufwiegelung zum Rassenhass gelten.	In this connection, I would draw everyone' s attention to the fact that the teaching material in Palestinian schools contains many anti-Semitic statements, which, in our countries, would fall under the heading of incitement to racial hatred.
Die von der Europäischen Union geleistete Hilfe muss dem Frieden dienen.	European aid must serve peace.
Deshalb habe ich einen Änderungsantrag eingereicht, in dem ich die Kommission auffordere, antisemitische Propaganda in Schulbüchern unter keinen Umständen zu unterstützen.	That is why I have tabled an amendment in which I urge the Commission not to support the spreading of anti-Semitism in schoolbooks in any way.
Es darf nicht toleriert werden, dass das Verbreiten antisemitischer Positionen aus Gemeinschaftsgeldern finanziert wird.	There should be no question of European money being used to pay for the spreading of racist views.
Daher möchte ich meinen Änderungsantrag wärmstens empfehlen in der Hoffnung, er möge eine breite Mehrheit finden.	I therefore heartily recommend my amendment, and hope it will meet with broad support.
Mit der Ablehnung aus formalen Gründen ist der Sache nicht gedient.	A formal condemnation is not doing anyone any good.
Herr Präsident, es ist erstaunlich, dass dieses Mal der Folgebericht zur Entlastung weit mehr Interesse zu wecken scheint als die eigentliche Entlastung, die ja noch vom alten Parlament vorbereitet wurde.	, Chairperson of the Committee on Budgetary Control. (DE) Mr President, it is amazing that the follow-up report on the discharge seems to be generating far more interest this time than the discharge itself, which was, in fact, prepared by the previous Parliament.
Ich freue mich darüber. Aber es ist ja keine Neuerung, dass wir einen solchen Folgebericht verfassen und uns daran halten, was wir seinerzeit vorgegeben haben.	I welcome this with open arms, but there is nothing new in the fact that we have compiled such a report and are sticking to it, as we vowed to at the time.
Dennoch glaube ich, dass wir unserer Aufgabe gerecht werden, zu kontrollieren, ob die Kommission unseren Forderungen im Zusammenhang mit der Entlastung nachkommt.	Yet I believe we have done justice to our task of verifying whether the Commission has met our demands in relation to the discharge.
Ich freue mich ganz besonders und beglückwünsche die Berichterstatterin, dass sie das alles noch einmal aufgegriffen hat, freue mich aber auch, dass ich der Kommission sagen kann, dass sie diesen Forderungen sehr gut nachgekommen ist.	I am extremely pleased that the rapporteur has taken all these issues up again and would like to congratulate her to this effect. However, I am also delighted to be able to tell the Commission that it has fulfilled these demands extremely well.
Bedingungen sind es, nicht nur Bemerkungen.	We are talking conditions, and not just comments.
Dennoch bleibt einiges übrig, was noch aufzuarbeiten ist.	However, there are still a few matters to be resolved.
Dies ist im Übrigen auch klar im Bericht genannt.	This is also clearly brought out in the report, by the way.
Ich möchte hier besonders den Rechnungsabschluss nennen.	I would single out the closure of accounts for special mention in this respect.
Es ist wirklich besorgniserregend, wenn wir über 70 Milliarden Euro als Verpflichtungen vor uns herschieben, die den Haushalt aufblähen und nicht für weitere Aufgaben zur Verfügung stehen, die sich diese Europäische Union gestellt hat.	It is truly alarming when we put in excess of EUR 70 billion to one side, which inflates the budget and is then unavailable for other tasks that the EU has set itself.
Hier muss mehr getan werden, als nur alle zwei Jahre Bericht zu erstatten, hier muss abgebaut werden.	We must do more to tackle this than just compile a report once every two years; we need to cut back.
Frau Kommissarin, Sie werden sich darum bemühen.	Commissioner, this is a matter for you.
Zum zweiten möchte ich sagen, dass ich nicht viel davon halte, eine zweite Stelle für interne Untersuchungen einzurichten.	Secondly, I do not think much to the idea of setting up a second office for internal investigations.
Wir haben OLAF geschaffen. Wir sollten sehr viel mehr darauf achten, dass OLAF seine Arbeiten richtig und unabhängig durchführen kann, insbesondere seine internen Untersuchungen.	We have set up OLAF and ought to concentrate far more on ensuring that OLAF is able to carry out its work properly and in an independent manner, particularly its internal investigations.
Ich halte es für wichtig, dass wir dennoch unserer Forderung nachkommen, die wir in der Entlastung erhoben haben, nämlich eine Disziplinarkammer zu schaffen, die beim Rechnungshof oder beim Gerichtshof angesiedelt sein könnte.	I believe it is important for us to uphold the demand that we raised during the discharge process, namely that of creating a disciplinary chamber, which could be attached to the Court of Auditors or the Court of Justice.
Ich möchte die Kommission daran erinnern, nicht nur Erläuterungen dazu abzugeben, sondern eine Rechtsgrundlage vorzulegen.	I would remind the Commission not just to issue statements on this, but also produce a legal basis.
Zum Schluss ein herzliches Dankeschön für die Bemühungen um das Gaza-Krankenhaus.	Finally, I would like to say a big thank you for the efforts made in respect of the Gaza hospital.
Ich war selber dort.	I was there myself.
Ich freue mich, dass es nun endlich, nach all den Jahren, seine Arbeit aufgenommen hat und offensichtlich erfolgreich für die Bevölkerung arbeitet.	I am delighted that after all these years, it has at long last started work and is evidently serving the people well.
Herr Präsident, meine Damen und Herren! Lassen Sie mich gleich dort anschließen, wo Frau Theato aufgehört hat.	Mr President, ladies and gentlemen, allow me to carry on straightaway from where Mrs Theato left off.
Wir können uns, Frau Kommissarin, eigentlich nicht so richtig vorstellen, wofür eine beratende Stelle für finanzielle Unregelmäßigkeiten geschaffen werden sollte, wie Sie sie sich vorstellen.	Commissioner, we are actually finding it quite hard to imagine what the point would be of having an advisory office for financial irregularities of the kind you envisage.
Das gilt für das neue Amt für interne administrative Untersuchungen, dessen Einrichtung die Kommission plant.	The same applies to the new agency for internal administrative investigations that the Commission is planning to set up.
Welchen Sinn und Zweck soll diese Stelle und dieses Amt eigentlich haben, wo OLAF doch laut Beschluss der Kommission für sämtliche schweren Dienstvergehen gegen die Interessen der Gemeinschaft zuständig ist, also nicht nur für Betrugsdelikte?	What purpose would this office and agency actually serve, when by the Commission' s own decree, OLAF is responsible for all serious breaches of duty against the interests of the Community, and not just for fraud-related offences?
Ich möchte Sie noch einmal daran erinnern, dass Sie das selber so beschlossen haben und dabei sind, offenbar irgendeinen unnützen Überbau in Ihren Vorstellungen entstehen zu lassen.	I would remind you once again that you, yourself, decided that that is how it should be, yet you are evidently on the point of allowing some kind of pointless superstructure to form part of your proposals.
Der Bericht der Kollegin van der Laan hält sehr zu Recht fest, dass für das Parlament die Fortschritte der Kommission bei der Personalpolitik noch nicht befriedigend sind.	Mrs van der Laan' s report quite rightly maintains that the Commission has not yet made sufficient progress on the personnel policy front for Parliament' s taste.
Das gilt insbesondere für die schon lange überfällige Reform der Disziplinarverfahren.	This particularly applies to the already long overdue reform of the disciplinary procedure.
Das hat natürlich sehr viel mit der Haushaltsentlastung zu tun, denn uns geht es dabei auch um die Frage der Haftung der Beamten und Bediensteten für von ihnen angerichtete Schäden.	Of course, this has a great deal to do with the budgetary discharge, because one thing that also concerns us is the issue of the liability of officials in respect of damage they cause.
Müssen Beamte und Bedienstete der Kommission für von ihnen angerichtete Schäden zumindest im Rahmen ihrer finanziellen Möglichkeiten selbst aufkommen?	Do Commission officials have to defray the costs of damage they cause, themselves, at least as far as their financial means permit?
Die Frage ist im Prinzip seit langem mit Ja beantwortet.	In principle, the answer to this question has long been 'yes' .
Nur - tatsächlich angewendet wurden die entsprechenden Vorschriften der Artikel 73 und 74 der Haushaltsordnung noch in keinem einzigen Fall.	Only, the corresponding provisions of Articles 73 and 74 of the Financial Regulation have never actually been applied in a single case yet.
Das wurde immer damit entschuldigt, dass die Verfahren hierfür unklar seien.	The excuse used was always that the relevant procedures were unclear.
Wer hofft, dass sich das nun im Zuge der Reform ändert, wurde bislang enttäuscht.	Anyone hoping that this will now change under the reform process has been disappointed so far.
Das von Vizepräsident Kinnock am 29. November vorgelegte Konsultationspapier über die Reform der Disziplinarverfahren klammert ausgerechnet diese wirklich entscheidende Frage aus und verschiebt eine Antwort auf später.	It is this very issue, an absolutely crucial one, that the consultation paper on the reform of the disciplinary procedure put forward by Vice-President Kinnock on 29 November, ignores, and it postpones a response until a later date.
Das verstehe, wer will. Ich kann das nicht nachvollziehen.	Understand that if you will, because I find it incomprehensible.
Dieses Haus hat dagegen klar und wiederholt Position bezogen und eine externe Kammer für Haushaltsdisziplin beim Europäischen Rechnungshof oder Gerichtshof gefordert, die immer dann eingeschaltet werden soll, wenn es um die finanzielle Verantwortung der Beamten und Bediensteten geht.	This House has repeatedly and clearly opposed this and called for an external chamber for budgetary discipline to be established at the European Court of Auditors or Court of Justice, which should be called in whenever the financial accountability of officials is at issue.
Diese Forderung aus dem Bericht des Kollegen van Hulten über die Reform der Kommission liegt nunmehr seit Januar letzten Jahres auf dem Tisch und wurde im Bericht Stauner über die Entlastung 1998 noch einmal ausdrücklich bestätigt.	This demand from the report by Mr van Hulten on the reform of the Commission has now been on the table since January last, and was expressly re-confirmed in the Stauner report on the 1998 discharge.
Ich glaube, auch diese Entlastung, der sehr gute Bericht von Frau Kollegin van der Laan lässt diese für die Glaubwürdigkeit der Administration der Europäischen Union zentralen Fragen offen.	I also believe that this discharge, the excellent report by Mrs van der Laan, leaves these issues, which are key to the credibility of EU administration, unresolved.
Wir haben den Weg gewiesen. Wir können Sie nur auffordern und einladen, diesem Weg zu folgen, Frau Kommissarin!	We have pointed the way, and now all we can do, Commissioner, is to invite you to follow it.
Herr Präsident, sehr geehrte Damen und Herren! Wenn wir heute zu Beginn des Jahres 2001 über die Folgemaßnahmen zur Haushaltsentlastung 1997 diskutieren, so ist das meines Erachtens vom Procedere ziemlich anachronistisch angesichts der Tatsache, dass das Entlastungsverfahren 1998 seit über einem halben Jahr abgeschlossen ist und der zuständige Parlamentsausschuss bereits an der Entlastung für das Jahr 1999 arbeitet.	Mr President, ladies and gentlemen, the fact that we are discussing the follow-up measures to the 1997 budgetary discharge at the beginning of the year 2001, is, to my mind, rather anachronistic in procedural terms, given that the 1998 discharge procedure was concluded more than six months ago and the parliamentary committee responsible is already working on the discharge for 1999.
Eine moderne, effiziente Verwaltung sollte umgehend auf die Kritik und die Verbesserungsvorschläge des Parlaments reagieren, insbesondere wenn Missstände abgestellt werden müssen.	A modern, efficient administration should respond forthwith to Parliament' s criticism and recommendations for improvement, particularly when misdemeanours need to be dealt with.
Nun zum Inhaltlichen: Trotz begrüßenswerter Fortschritte ist festzustellen, dass wichtige Forderungen des Parlaments nicht erfüllt wurden und deshalb in die Entlastungsverfahren der Folgejahre weitergeschleppt werden, so dass die wünschenswerte klare Abgrenzung weiter verwischt wird.	Turning now to matters of content, despite some welcome progress, the fact remains that key demands lodged by Parliament have not been fulfilled and are therefore to be carried over into the discharge procedure for subsequent years, which means that the clear delimitation we desire will become more blurred.
Ich möchte vor allem zwei Punkte hervorheben: Mir ist unverständlich, dass die Kommission immer noch nichts unternommen hat, um eine Kammer für Haushaltsdisziplin beim Rechnungshof oder beim Gerichtshof einzurichten und so eine wirksame Anwendung der Bestimmungen der Haushaltsordnung betreffend die finanzielle Haftbarkeit der Beamten für von ihnen verursachte Schäden zu gewährleisten.	There are two points in particular I would like to highlight. I am at a loss as to why the Commission has, as yet, failed to take steps to set up a chamber for budgetary discipline at the Court of Auditors or the Court of Justice, and so guarantee the effective application of the provisions of the Financial Regulation concerning the financial liability of officials for damage they cause.
Wie oft müssen wir die Kommission denn noch bitten, auffordern, anflehen - ich weiß nicht, was sonst noch -, damit sie endlich etwas tut?	How many times do we have to ask, urge, beseech - and I do not know what else - the Commission to get round to doing something at long last?
Diese Forderung ist doch vernünftig!	Surely this is a reasonable demand?
Das Gleiche gilt für unsere Forderung, dass das Parlament als Entlastungsbehörde mindestens in gleichem Umfang Zugang zu den Dokumenten der Kommission haben muss wie der Rechnungshof.	The same goes for our demand that Parliament, as a discharge authority, should be given at least the same amount of access to the Commission as the Court of Auditors.
Die Informationspflicht ergibt sich ja eindeutig aus einer vertraglichen Grundlage, nämlich Artikel 276 EG-Vertrag.	After all, the duty to provide information is clearly Treaty-based, i.e. it derives from Article 276 of the Treaty of Rome.
Die beratende Stelle, die bereits genannt wurde, erscheint übrigens auch mir überflüssig, so dass ich jetzt nicht mehr näher darauf eingehe, weil meine Vorredner sich damit schon beschäftigt haben.	Incidentally, it also seems to me that the advisory office, which was mentioned earlier, would be surplus to requirements, and I do not intend to go into this matter any further at the present time since previous speakers have already taken care of it.
Die beiden Forderungen, die sich in unseren Änderungsanträgen wiederfinden, halte ich jedoch für unverzichtbar.	However, both demands are reflected in our amendments and I consider them indisputable.
Ich bitte um Ihre Unterstützung.	I would appreciate your support in this.
Herr Präsident, sehr geehrte Kolleginnen und Kollegen, sehr geehrte Frau van der Laan!	Mr President, ladies and gentlemen, Mrs van der Laan.
Im Zusammenhang mit diesem Dossier möchte ich auf jeden Fall unsere Berichterstatterin beglückwünschen und ihr meine Hochachtung aussprechen für die Art und Weise, wie sie diese Aufgabe gemeistert hat, für das Fingerspitzengefühl, das sie dabei an den Tag gelegt hat, ohne sich zu den Überspitzungen hinreißen zu lassen, die im Rahmen der Entlastung immer möglich sind, wie wir ja bereits erlebt haben.	I should like to congratulate the rapporteur on this report, and to express my utter admiration for the way in which she completed the task, the skill with which she handled the matter, without getting carried away by the excesses which are always possible in the matter of discharge, as we have already seen.
Nach meinem Dafürhalten ist dieses Instrument der Entlastung sehr bedeutsam.	
Es muss jedoch mit Vorsicht gehandhabt werden. Meiner Meinung nach ist es normal, dass das Parlament sich mit den, besonders in den letzten Jahren zahlreich aufgetretenen Mängeln in der Verwaltung der öffentlichen Gelder befasst, die allerdings insbesondere den Mitgliedstaaten anzulasten sind.	I believe the discharge procedure is a very important one, which should be handled with care, as the saying goes, and I think it is reasonable for Parliament to look into the shortcomings detected in the management of public monies, of which there have been many in recent years, generally attributable, it must be said, to the Member States.
Darauf werden wir gleich noch im Rahmen weiterer Berichte des Rechnungshofs eingehen.	This is a point to which we shall return when discussing other Court of Auditors reports.
Auf diesen Aspekt sollte das Parlament, wie ich denke, während dieser Legislaturperiode ganz besonders achten.	I think that Parliament must focus especially on this aspect during this term of office.
Doch es gibt auch Mängel in der Kommission.	There were also shortcomings within the Commission.
Die Entlastung für 1997 weist einen etwas speziellen Charakter auf. Sie fiel in einen Zeitraum größter Schwierigkeiten für die Kommission.	Discharge for 1997 was a rather special case, coinciding as it did with an extremely difficult time for the Commission.
Ich denke, dass der Bericht, die Art und Weise des Abschlusses, von dem ich hoffe, dass er endgültig ist und es nicht zu einem neuen Wirbel um das Entlastungsinstrument kommt, uns nun ermöglicht, nach vorn zu blicken und diese Entlastung, die von unserem Parlament lange abgewogen worden ist und die zu Reaktionen von Seiten der Kommission geführt hat, in gewisser Weise als Musterbeispiel zu betrachten.	I think the report, and the way it has been settled, and the way I should like to see it definitively settled without it forcing us to take another turn around the discharge procedure, will enable us to look to the future, taking as our model, to some extent, this discharge which is the fruit of lengthy deliberation by Parliament and which has given rise to certain responses from the Commission.
Diese Reaktionen haben wir geprüft und in ihrer Mehrheit als zufriedenstellend befunden. Das sei festgehalten.	We have examined these responses, and have found the majority of them satisfactory, as is recorded.
Künftig wird so verfahren werden, dass die Entlastungen sich auf das Haushaltsjahr beschränken.	A new approach has now been adopted to ensure that discharges are confined to the business of the budget.
Meiner Meinung nach befinden wir uns auf dem richtigen Weg. Und in diesem Sinne werden wir unser Votum zum Bericht van der Laan abgeben.	I think we are moving in the right direction and, in this spirit, we shall be voting in favour of the van der Laan report.
Herr Präsident, sehr geehrte Abgeordnete, sehr geehrte Frau van der Laan! Die Kommission begrüßt Ihren Bericht.	Mr President, ladies and gentlemen, Mrs van der Laan, the Commission welcomes your report.
In den meisten Bereichen, die im Haushaltsentlastungsverfahren 1997 im Mittelpunkt standen, haben Sie festgestellt, dass die Maßnahmen der Kommission zu befürworten sind, weil wir auf dem richtigen Weg sind.	You have ascertained that in most areas that were central to the 1997 budgetary discharge procedure the measures taken by the Commission merit approval because we are heading in the right direction.
Ich darf mir also erlauben, mich mal zu Anfang des Jahres darüber zu freuen, dass das Parlament die Kommission lobt.	I might therefore venture, at the start of this new year, to take pleasure in the fact that Parliament has commended the Commission.
